mode,io_threads,block_size,dataset_size,ranks,compute_time,read_size,raw_read_time,metadata_time,raw_read_rate,observed_read_rate
GPU,4,1048576,20GB,4,4s,"20.000 GB",16.525,0.031,"1.210 GB/s ","1.207 GB/s"
GPU,4,2097152,1GB,4,4s,"1.000 GB",1.935,0.128,"529.114 MB/s ","495.484 MB/s"
GPU,4,2097152,5GB,4,4s,"5.000 GB",4.873,0.014,"1.025 GB/s ","1.020 GB/s"
GPU,4,2097152,10GB,4,4s,"10.000 GB",11.336,0.566,"903.326 MB/s ","856.037 MB/s"
GPU,4,2097152,20GB,4,4s,"20.000 GB",8.802,0.001,"2.271 GB/s ","2.271 GB/s"
GPU,4,4194304,1GB,4,4s,"1.000 GB",0.683,0.006,"1.464 GB/s ","1.416 GB/s"
GPU,4,4194304,5GB,4,4s,"5.000 GB",3.152,0.004,"1.586 GB/s ","1.584 GB/s"
GPU,4,4194304,10GB,4,4s,"10.000 GB",5.198,0.081,"1.923 GB/s ","1.891 GB/s"
GPU,4,4194304,20GB,4,4s,"20.000 GB",7.500,0.001,"2.666 GB/s ","2.665 GB/s"
GPU,8,65536,1GB,8,4s,"1.000 GB",2.079,0.129,"492.589 MB/s ","446.771 MB/s"
GPU,8,65536,5GB,8,4s,"5.000 GB",3.258,0.001,"1.534 GB/s ","1.500 GB/s"
GPU,8,65536,10GB,8,4s,"10.000 GB",5.963,0.040,"1.677 GB/s ","1.659 GB/s"
GPU,8,65536,20GB,8,4s,"20.000 GB",13.389,0.234,"1.493 GB/s ","1.457 GB/s"
GPU,8,131072,1GB,8,4s,"1.000 GB",2.039,0.168,"502.094 MB/s ","461.991 MB/s"
GPU,8,131072,5GB,8,4s,"5.000 GB",4.035,0.076,"1.238 GB/s ","1.190 GB/s"
GPU,8,131072,10GB,8,4s,"10.000 GB",6.808,0.324,"1.469 GB/s ","1.401 GB/s"
GPU,8,131072,20GB,8,4s,"20.000 GB",12.229,0.011,"1.635 GB/s ","1.620 GB/s"
GPU,8,262144,1GB,8,4s,"1.000 GB",2.484,0.100,"412.315 MB/s ","396.194 MB/s"
GPU,8,262144,5GB,8,4s,"5.000 GB",3.451,0.001,"1.448 GB/s ","1.433 GB/s"
GPU,8,262144,10GB,8,4s,"10.000 GB",7.062,0.108,"1.415 GB/s ","1.392 GB/s"
GPU,8,262144,20GB,8,4s,"20.000 GB",11.790,0.356,"1.696 GB/s ","1.641 GB/s"
GPU,8,524288,1GB,8,4s,"1.000 GB",2.007,0.052,"510.126 MB/s ","489.441 MB/s"
GPU,8,524288,5GB,8,4s,"5.000 GB",4.700,0.197,"1.063 GB/s ","1.019 GB/s"
GPU,8,524288,10GB,8,4s,"10.000 GB",6.286,0.029,"1.591 GB/s ","1.580 GB/s"
GPU,8,524288,20GB,8,4s,"20.000 GB",12.320,0.001,"1.623 GB/s ","1.622 GB/s"
GPU,8,1048576,1GB,8,4s,"1.000 GB",1.888,0.192,"542.422 MB/s ","474.073 MB/s"
GPU,8,1048576,5GB,8,4s,"5.000 GB",3.915,0.005,"1.276 GB/s ","1.274 GB/s"
GPU,8,1048576,10GB,8,4s,"10.000 GB",6.611,0.032,"1.512 GB/s ","1.484 GB/s"
GPU,8,1048576,20GB,8,4s,"20.000 GB",11.146,0.002,"1.794 GB/s ","1.781 GB/s"
GPU,8,2097152,1GB,8,4s,"1.000 GB",2.599,0.029,"394.055 MB/s ","375.922 MB/s"
GPU,8,2097152,5GB,8,4s,"5.000 GB",3.791,0.064,"1.318 GB/s ","1.277 GB/s"
GPU,8,2097152,10GB,8,4s,"10.000 GB",6.243,0.069,"1.602 GB/s ","1.580 GB/s"
