mode,io_threads,block_size,dataset_size,ranks,compute_time,write_size,raw_write_time,metadata_time,h5fcreate_time,h5fflush_time,h5fclose_time,completion_time,raw_write_rate,observed_write_rate
GPU,4,524288,5GB,4,4s,"5.000 GB",2.492,0.001,0.002,1.537,0.000,8.072,"2.006 GB/s ","1.228 GB/s"
GPU,4,524288,10GB,4,4s,"10.000 GB",5.160,0.001,0.021,2.661,0.012,11.945,"1.938 GB/s ","1.258 GB/s"
GPU,4,524288,20GB,4,4s,"20.000 GB",10.325,0.001,0.006,1.989,0.024,16.523,"1.937 GB/s ","1.597 GB/s"
GPU,4,1048576,1GB,4,4s,"1.000 GB",0.525,0.001,0.006,0.511,0.000,5.050,"1.906 GB/s ","974.897 MB/s"
GPU,4,1048576,5GB,4,4s,"5.000 GB",2.499,0.001,0.013,1.590,0.000,8.144,"2.000 GB/s ","1.206 GB/s"
GPU,4,1048576,10GB,4,4s,"10.000 GB",5.111,0.001,0.015,2.627,0.000,11.845,"1.956 GB/s ","1.274 GB/s"
GPU,4,1048576,20GB,4,4s,"20.000 GB",10.442,0.001,0.028,2.180,0.000,16.835,"1.915 GB/s ","1.558 GB/s"
GPU,4,2097152,1GB,4,4s,"1.000 GB",0.523,0.001,0.002,0.504,0.000,5.039,"1.910 GB/s ","985.994 MB/s"
GPU,4,2097152,5GB,4,4s,"5.000 GB",2.536,0.001,0.212,1.395,0.000,8.184,"1.972 GB/s ","1.194 GB/s"
GPU,4,2097152,10GB,4,4s,"10.000 GB",5.090,0.001,0.015,2.602,0.000,11.800,"1.964 GB/s ","1.281 GB/s"
GPU,4,2097152,20GB,4,4s,"20.000 GB",10.398,0.001,0.012,1.781,0.000,16.376,"1.923 GB/s ","1.615 GB/s"
GPU,4,4194304,1GB,4,4s,"1.000 GB",0.524,0.001,0.002,0.499,0.000,5.035,"1.909 GB/s ","989.542 MB/s"
GPU,4,4194304,5GB,4,4s,"5.000 GB",2.485,0.001,0.007,1.676,0.000,8.211,"2.012 GB/s ","1.187 GB/s"
GPU,4,4194304,10GB,4,4s,"10.000 GB",5.084,0.001,0.016,2.506,0.024,11.717,"1.967 GB/s ","1.295 GB/s"
GPU,4,4194304,20GB,4,4s,"20.000 GB",10.384,0.001,0.008,2.337,0.000,16.912,"1.926 GB/s ","1.549 GB/s"
GPU,8,65536,1GB,8,4s,"1.000 GB",1.443,0.001,0.208,0.537,0.094,6.287,"709.813 MB/s ","447.664 MB/s"
